sku,product_name,category,warehouse,quantity,weight,discount_code,last_restock
SKU-1000,Doohickey S,Toys,WH-01,55,3.61,,2024-06-22
SKU-1001,Widget M,Electronics,WH-01,31,unknown,CLEAR20,2024-04-03
SKU-1002,Doohickey L,Office,WH-01,55,4.82,,2024-06-14
SKU-1003,Widget S,Office,WH-01,58,0.8,,2024-04-23
SKU-1004,Widget XL,Toys,WH-01,42,3.78,BULK5,2024-04-16
SKU-1005,Doohickey XL,Home,WH-01,,2.27,,2024-04-17
SKU-1006,Apparatus S,Toys,WH-01,,0.86,,2024-06-07
SKU-1007,Gadget XL,Electronics,WH-01,12,unknown,,2024-03-11
SKU-1008,Contraption M,Electronics,WH-01,67,unknown,,2024-04-23
SKU-1009,Apparatus S,Home,WH-01,48,1.3,,2024-05-15
SKU-1010,Gadget XL,Toys,WH-01,16,unknown,,2024-06-20
SKU-1011,Contraption M,Toys,WH-01,117,2.1,BULK5,2024-04-15
SKU-1012,Widget S,Toys,WH-01,47,1.77,,2024-03-06
SKU-1013,Widget L,Toys,WH-01,,unknown,CLEAR20,2024-03-30
SKU-1014,Gadget XL,Garden,WH-01,39,1.04,,2024-04-18
SKU-1015,Widget S,Office,WH-01,,N/A,SAVE10,2024-04-07
SKU-1016,Apparatus XL,Toys,WH-01,47,unknown,BULK5,2024-03-23
SKU-1017,Doohickey S,Garden,WH-01,,N/A,,2024-05-24
SKU-1018,Apparatus M,Office,WH-01,33,N/A,CLEAR20,2024-06-10
SKU-1019,Contraption S,Home,WH-01,56,unknown,,2024-04-25
SKU-1020,Apparatus L,Garden,WH-01,79,N/A,SAVE10,2024-03-03
SKU-1021,Gizmo XL,Toys,WH-01,76,3.01,,2024-03-19
SKU-1022,Gadget S,Toys,WH-01,58,2.43,,2024-03-03
SKU-1023,Contraption S,Office,WH-01,76,2.29,,2024-04-29
SKU-1024,Gizmo M,Home,WH-01,46,1.22,,2024-05-01
SKU-1025,Apparatus L,Garden,WH-01,,3.34,,2024-06-24
SKU-1026,Apparatus M,Toys,WH-01,53,N/A,,2024-04-11
SKU-1027,Gizmo L,Home,WH-01,68,0.95,,2024-05-22
SKU-1028,Widget S,Garden,WH-01,,N/A,BULK5,2024-05-31
SKU-1029,Doohickey S,Electronics,WH-01,58,3.25,,2024-03-11
SKU-1030,Gadget S,Electronics,WH-01,62,4.16,,2024-03-06
SKU-1031,Widget S,Home,WH-01,43,0.99,,2024-03-26
SKU-1032,Widget XL,Home,WH-01,58,1.77,BULK5,2024-04-08
SKU-1033,Apparatus XL,Toys,WH-01,32,2.78,,2024-06-20
SKU-1034,Doohickey S,Garden,WH-01,82,unknown,CLEAR20,2024-06-26
SKU-1035,Gizmo L,Garden,WH-01,,2.18,,2024-06-04
SKU-1036,Doohickey S,Garden,WH-01,43,unknown,VIP,2024-04-13
SKU-1037,Contraption XL,Home,WH-01,109,1.39,,2024-06-04
SKU-1038,Gadget S,Electronics,WH-01,14,N/A,,2024-05-17
SKU-1039,Widget S,Home,WH-01,125,unknown,,2024-06-16
SKU-1040,Gadget L,Garden,WH-01,13,unknown,SAVE10,2024-05-07
SKU-1041,Apparatus M,Garden,WH-01,24,unknown,,2024-05-29
SKU-1042,Doohickey S,Office,WH-01,112,2.13,,2024-06-07
SKU-1043,Widget S,Home,WH-01,55,2.8,VIP,2024-05-23
SKU-1044,Widget S,Home,WH-01,69,2.13,CLEAR20,2024-04-20
SKU-1045,Widget S,Electronics,WH-01,110,0.7,CLEAR20,2024-05-25
SKU-1046,Doohickey M,Office,WH-01,66,2.82,,2024-05-13
SKU-1047,Contraption S,Garden,WH-01,0,3.17,,2024-06-09
SKU-1048,Doohickey L,Electronics,WH-01,74,N/A,VIP,2024-06-27
SKU-1049,Widget L,Office,WH-01,5,unknown,,2024-05-16
SKU-1050,Apparatus L,Electronics,WH-01,14,1.52,,2024-05-07
SKU-1051,Gadget S,Garden,WH-01,14,N/A,,2024-04-27
SKU-1003,Widget S,Office,WH-01,58,0.8,,2024-04-23
SKU-1003,Widget S,Office,WH-01,58,0.8,,2024-04-23
SKU-1010,Gadget XL,Toys,WH-01,16,unknown,,2024-06-20
SKU-1010,Gadget XL,Toys,WH-01,16,unknown,,2024-06-20
SKU-1021,Gizmo XL,Toys,WH-01,76,3.01,,2024-03-19
SKU-1027,Gizmo L,Home,WH-01,68,0.95,,2024-05-22
SKU-1027,Gizmo L,Home,WH-01,68,0.95,,2024-05-22
SKU-1040,Gadget L,Garden,WH-01,13,unknown,SAVE10,2024-05-07
