date,day_of_week,units_sold,revenue,avg_order_value,returns
2024-01-01,Mon,195,4369.29,22.41,5
2024-01-02,Tue,202,4683.96,23.19,7
2024-01-03,Wed,183,4454.52,24.34,3
2024-01-04,Thu,127,3212.16,25.29,5
2024-01-05,Fri,178,4467.2,25.1,6
2024-01-06,Sat,271,6333.08,23.37,8
2024-01-07,Sun,279,7321.01,26.24,8
2024-01-08,Mon,222,5624.2,25.33,7
2024-01-09,Tue,179,3898.22,21.78,7
2024-01-10,Wed,201,5271.96,26.23,4
2024-01-11,Thu,229,5544.58,24.21,8
2024-01-12,Fri,209,5302.77,25.37,5
2024-01-13,Sat,218,5344.38,24.52,7
2024-01-14,Sun,261,6416.21,24.58,7
2024-01-15,Mon,220,5566.73,25.3,8
2024-01-16,Tue,184,4748.89,25.81,7
2024-01-17,Wed,189,4505.76,23.84,6
2024-01-18,Thu,222,5216.99,23.5,8
2024-01-19,Fri,209,5285.54,25.29,4
2024-01-20,Sat,258,6425.12,24.9,8
2024-01-21,Sun,308,7416.41,24.08,13
2024-01-22,Mon,185,4527.05,24.47,5
2024-01-23,Tue,210,5136,24.46,8
2024-01-24,Wed,182,4625.25,25.41,6
2024-01-25,Thu,203,4972.05,24.49,7
2024-01-26,Fri,190,5095.69,26.82,5
2024-01-27,Sat,264,6954.61,26.34,7
2024-01-28,Sun,257,6586.64,25.63,8
2024-01-29,Mon,202,4759.76,23.56,4
2024-01-30,Tue,158,3587.17,22.7,4
2024-01-31,Wed,230,5497.85,23.9,7
2024-02-01,Thu,220,5782.26,26.28,10
2024-02-02,Fri,182,4707.65,25.87,6
2024-02-03,Sat,241,5456.46,22.64,8
2024-02-04,Sun,282,6286.66,22.29,7
2024-02-05,Mon,200,5193.57,25.97,6
2024-02-06,Tue,196,4296.17,21.92,5
2024-02-07,Wed,216,5579.63,25.83,6
2024-02-08,Thu,172,4153.54,24.15,5
2024-02-09,Fri,193,4800.95,24.88,5
2024-02-10,Sat,275,6642.58,24.15,10
2024-02-11,Sun,222,5476.94,24.67,6
2024-02-12,Mon,229,5535.72,24.17,7
2024-02-13,Tue,199,4521.06,22.72,8
2024-02-14,Wed,238,5947.83,24.99,6
2024-02-15,Thu,788,19551.81,24.81,24
2024-02-16,Fri,180,4603.55,25.58,4
2024-02-17,Sat,257,6774.8,26.36,9
2024-02-18,Sun,258,6149.07,23.83,8
2024-02-19,Mon,222,5749.78,25.9,8
2024-02-20,Tue,215,5389.32,25.07,11
2024-02-21,Wed,187,4442.27,23.76,7
2024-02-22,Thu,182,4464.3,24.53,6
2024-02-23,Fri,209,5022.35,24.03,7
2024-02-24,Sat,275,6612.39,24.05,8
2024-02-25,Sun,294,7746.22,26.35,9
2024-02-26,Mon,186,4451.74,23.93,9
2024-02-27,Tue,185,4340.21,23.46,6
2024-02-28,Wed,171,3914.97,22.89,3
2024-02-29,Thu,204,4734.69,23.21,10
2024-03-01,Fri,235,5667.83,24.12,7
2024-03-02,Sat,233,5813.56,24.95,7
2024-03-03,Sun,247,5688.1,23.03,5
2024-03-04,Mon,212,5209.81,24.57,7
2024-03-05,Tue,176,4423.95,25.14,7
2024-03-06,Wed,214,5263.9,24.6,7
2024-03-07,Thu,226,5658.57,25.04,5
2024-03-08,Fri,180,4244.84,23.58,4
2024-03-09,Sat,238,5411.5,22.74,7
2024-03-10,Sun,264,6737.63,25.52,8
2024-03-11,Mon,181,4538.86,25.08,4
2024-03-12,Tue,185,4642.57,25.09,4
2024-03-13,Wed,210,5259.96,25.05,6
2024-03-14,Thu,195,4983.52,25.56,6
2024-03-15,Fri,176,4539.22,25.79,4
2024-03-16,Sat,245,5937.37,24.23,7
2024-03-17,Sun,244,5863.03,24.03,7
2024-03-18,Mon,164,3798.17,23.16,5
2024-03-19,Tue,219,5349.14,24.43,6
2024-03-20,Wed,212,5428.91,25.61,7
2024-03-21,Thu,172,3923.91,22.81,5
2024-03-22,Fri,247,6069.42,24.57,7
2024-03-23,Sat,283,7323.01,25.88,8
2024-03-24,Sun,255,6393.74,25.07,6
2024-03-25,Mon,212,5370.45,25.33,7
2024-03-26,Tue,181,4650.23,25.69,5
2024-03-27,Wed,182,4576.95,25.15,4
2024-03-28,Thu,191,4704.46,24.63,3
2024-03-29,Fri,227,5693.93,25.08,6
2024-03-30,Sat,260,6301.91,24.24,8
