respondent_id,age,gender,department,tenure_years,satisfaction,would_recommend,comments
1001,45,Male,Marketing,4.7,1,false,
1002,18,Male,Engineering,11.3,1,false,
1003,27,Male,Marketing,3,3,true,Overall a great experience working in Marketing; would welcome more support here.
1004,32,Non-binary,Support,,4,true,Overall a mixed experience working in Support; would welcome more support here.
1005,30,Non-binary,Marketing,3.4,4,true,
1006,,Male,Engineering,6.8,5,true,Overall a frustrating experience working in Engineering; would welcome more support here.
1007,55,Male,Marketing,7.1,1,false,
1008,42,Male,Marketing,10,3,true,
1009,39,Female,Engineering,6.8,3,true,Overall a positive experience working in Engineering; would welcome more support here.
1010,27,Female,HR,2.3,2,false,Overall a solid experience working in HR; would welcome more support here.
1011,43,Female,HR,7.8,2,false,Overall a mixed experience working in HR; would appreciate more support here.
1012,25,Prefer not to say,Marketing,5.3,3,true,
1013,36,Female,Support,2.4,4,true,Overall a positive experience working in Support; would appreciate more support here.
1014,45,Female,Support,4,2,false,
1015,31,Male,HR,0,5,true,Overall a great experience working in HR; would appreciate more support here.
1016,45,Female,Sales,0,4,true,Overall a mixed experience working in Sales; would appreciate more support here.
1017,,Female,Sales,12,1,false,Overall a solid experience working in Sales; would welcome more support here.
1018,64,Non-binary,Support,11.7,2,false,
1019,31,Female,Engineering,5.9,2,false,Overall a great experience working in Engineering; would welcome more support here.
1020,42,Male,Support,4.1,1,false,
1021,,Non-binary,Sales,8.7,5,true,
1022,,Female,HR,6,1,false,
1023,39,Male,Sales,5.3,2,false,
1024,33,Male,Sales,0,4,true,
1025,,Prefer not to say,Sales,0,3,true,Overall a mixed experience working in Sales; would appreciate more support here.
1026,51,Male,Engineering,,5,true,Overall a frustrating experience working in Engineering; would appreciate more support here.
1027,25,Prefer not to say,Marketing,5.1,4,true,Overall a disappointing experience working in Marketing; would welcome more support here.
1028,35,Female,HR,0.1,3,true,
1029,38,Female,HR,0,5,true,Overall a disappointing experience working in HR; would appreciate more support here.
